Density,Interference,Sociality,patch_value,residence_time,se
5,0.5,0,7.6,1.001207777,2.16E-05
0.4,0.5,0,6.1,0.999846083,2.20E-05
5,0.5,0,4.7,0.998649421,2.32E-05
0.4,1,0,6,0.99983817,2.44E-05
2,0.5,0,5.3,0.999726166,2.47E-05
2,1,0,5.3,0.999646844,2.49E-05
5,1,0,4.6,0.998713158,2.70E-05
5,0.5,0,7.7,1.001468113,2.71E-05
5,1,0,8,1.000646387,2.78E-05
0.4,0.5,0,6,0.999806471,2.91E-05
2,1,0,5.2,0.999683489,2.99E-05
2,0.5,0,8.2,1.000386706,3.04E-05
5,1,0,4.5,0.999141548,3.15E-05
0.4,0.5,0,5.9,0.999880602,3.16E-05
2,1,0,5.1,0.999769425,3.17E-05
2,1,0,8.5,1.000138105,3.17E-05
0.4,1,0,5.9,0.999809943,3.21E-05
5,0.5,0,4.6,0.999229278,3.22E-05
2,0.5,0,5.2,0.99967127,3.25E-05
0.4,0.5,0,5.8,0.999889118,3.36E-05
5,0.5,0,7.8,1.001816511,3.47E-05
5,1,0,4.4,0.999323503,3.63E-05
2,0.5,0,5.1,0.999785834,3.73E-05
0.4,0.5,0,8.7,1.000076375,3.82E-05
5,0.1,0,5.1,1.048953641,3.82E-05
5,0.1,0,5.2,1.04833777,3.83E-05
5,0.1,0,5.3,1.047815545,3.84E-05
5,1,0,8.1,1.000895344,3.84E-05
2,0.5,0,8.3,1.000436974,3.85E-05
5,0.1,0,5.4,1.047382682,3.87E-05
5,0.1,0,5,1.048957412,3.88E-05
0.4,0.5,0,5.7,0.999871307,3.88E-05
5,0.1,0,5.5,1.046939946,3.90E-05
5,0.1,0,5.6,1.046684103,3.95E-05
0.4,1,0,5.8,0.999796202,4.00E-05
5,1,0.5,5.5,1.048598314,4.00E-05
5,0.1,0,5.7,1.04638272,4.01E-05
5,1,0.5,5.6,1.048709145,4.02E-05
0.4,1,0,5.7,0.999860713,4.02E-05
5,0.5,0,4.5,0.999566471,4.03E-05
5,1,0.5,5.4,1.048673917,4.04E-05
5,1,0.5,5.7,1.049004045,4.08E-05
5,0.1,0,5.8,1.046189813,4.09E-05
5,1,0.5,5.3,1.04897923,4.16E-05
5,1,0.5,5.8,1.049162558,4.17E-05
5,0.1,0,5.9,1.046205517,4.19E-05
2,1,0,8.6,1.000163479,4.22E-05
5,1,0.5,5.9,1.049445044,4.28E-05
5,0.5,0,7.9,1.002100905,4.32E-05
5,0.1,0,6,1.046340835,4.32E-05
5,1,0,4.3,0.999406798,4.34E-05
2,0.1,0,6.1,1.0402443,4.36E-05
5,1,0.5,5.2,1.049043076,4.36E-05
5,0.1,0,4.9,1.047464407,4.41E-05
